               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.06196,            0.009372,            0.025747,           0.0022311,              0.1768,           0.0014161,          0.00029074,            0.020854,           0.0074531,           0.0095452,           0.0001952,           0.0001952,            0.047145
                   1,            0.056778,           0.0090972,            0.024627,           0.0044094,             0.18106,           0.0033018,          0.00077916,            0.017943,            0.007263,           0.0094266,          0.00039359,          0.00039359,            0.044244
                   2,            0.050404,           0.0093236,            0.023465,            0.013712,             0.12292,            0.009357,           0.0021454,            0.015172,           0.0070368,           0.0092823,          0.00059194,          0.00059194,            0.041342
                   3,            0.043665,           0.0094884,            0.021778,            0.038729,             0.12945,             0.02599,           0.0065264,            0.012772,           0.0067174,           0.0089896,          0.00079023,          0.00079023,             0.03844
                   4,            0.040934,           0.0093559,            0.021202,             0.10533,             0.16024,            0.086769,            0.027609,            0.011276,           0.0062693,           0.0086098,          0.00098842,          0.00098842,            0.035538
                   5,             0.03652,           0.0090169,            0.019582,             0.16626,             0.19266,             0.18301,            0.078557,           0.0099542,           0.0058028,           0.0082001,           0.0011865,           0.0011865,            0.032636
                   6,            0.033124,           0.0089872,            0.018936,             0.11986,             0.75992,             0.31095,             0.16031,           0.0089453,           0.0052661,           0.0076923,           0.0013844,           0.0013844,            0.029734
                   7,            0.030737,           0.0082952,            0.017599,              0.2298,             0.87773,             0.43506,             0.21258,           0.0082579,           0.0047088,           0.0072627,           0.0015821,           0.0015821,            0.026832
                   8,            0.030135,           0.0078545,            0.016604,             0.25246,             0.87308,              0.4074,             0.18876,           0.0086702,           0.0042082,           0.0069597,           0.0017796,           0.0017796,             0.02393
                   9,            0.030317,           0.0076963,            0.016464,             0.33679,              0.8275,              0.4699,             0.23672,           0.0081499,           0.0036977,           0.0066304,           0.0019769,           0.0019769,            0.021027
                  10,            0.029335,           0.0068897,            0.015631,             0.36594,             0.73501,             0.53714,             0.23534,           0.0088407,           0.0033858,           0.0064129,           0.0021739,           0.0021739,            0.018124
                  11,            0.029042,           0.0068769,            0.015228,             0.33497,             0.67047,             0.53439,             0.19435,           0.0087732,            0.003117,           0.0062375,           0.0023707,           0.0023707,            0.015221
                  12,            0.026827,           0.0066157,            0.014663,             0.36509,             0.75438,             0.56516,             0.24834,           0.0094288,           0.0028419,           0.0060189,           0.0025671,           0.0025671,            0.012317
                  13,            0.028585,           0.0061386,            0.014364,             0.46279,             0.69531,             0.61342,             0.32326,           0.0071795,           0.0027517,           0.0060469,           0.0027631,           0.0027631,           0.0094131
                  14,             0.02632,           0.0061174,            0.014173,             0.50695,             0.70045,             0.63411,             0.32659,           0.0081425,           0.0024994,           0.0058558,           0.0029588,           0.0029588,           0.0065088
                  15,            0.025862,            0.005603,            0.013436,             0.48022,             0.78342,             0.64206,              0.3055,           0.0073871,           0.0023644,           0.0057858,            0.003154,            0.003154,            0.003604
                  16,            0.025088,           0.0056609,            0.013859,             0.45695,             0.71025,             0.62307,             0.36593,           0.0076826,           0.0021676,           0.0056128,           0.0031803,           0.0031803,           0.0031803
                  17,            0.023607,           0.0057595,            0.012994,              0.5433,             0.70588,             0.69051,             0.32778,            0.007533,           0.0020283,            0.005429,           0.0031803,           0.0031803,           0.0031803
                  18,            0.023561,           0.0056345,             0.01309,              0.4616,             0.81208,             0.68858,             0.39631,           0.0067927,           0.0019817,           0.0052628,           0.0031777,           0.0031777,           0.0031777
                  19,            0.021865,           0.0050007,             0.01234,              0.5717,             0.74871,             0.77222,             0.44501,           0.0066985,           0.0018703,           0.0050875,           0.0031751,           0.0031751,           0.0031751
                  20,             0.02315,           0.0051311,             0.01259,             0.66849,             0.72567,             0.78933,             0.45698,           0.0070323,           0.0017657,           0.0049556,           0.0031722,           0.0031722,           0.0031722
                  21,            0.022191,           0.0049582,            0.011572,             0.64246,             0.79822,             0.84368,             0.46301,           0.0071349,           0.0017559,           0.0047346,           0.0031692,           0.0031692,           0.0031692
                  22,            0.021685,           0.0048608,            0.010774,             0.68647,             0.79194,             0.84829,             0.57864,           0.0056231,            0.001704,           0.0044063,           0.0031661,           0.0031661,           0.0031661
                  23,            0.021347,           0.0047771,            0.010879,             0.82946,              0.8517,             0.91053,             0.58251,           0.0054759,           0.0017056,           0.0040919,           0.0031628,           0.0031628,           0.0031628
                  24,            0.020861,           0.0047535,            0.010974,             0.82655,             0.85507,             0.91437,             0.50733,           0.0061331,           0.0016638,           0.0037954,           0.0031594,           0.0031594,           0.0031594
                  25,            0.021762,           0.0047145,            0.010312,              0.9005,             0.89423,             0.94934,             0.62679,           0.0050788,           0.0016131,           0.0035358,           0.0031558,           0.0031558,           0.0031558
                  26,             0.01895,           0.0045113,           0.0094226,               0.932,             0.87772,              0.9557,             0.47004,           0.0076908,           0.0015411,            0.003343,            0.003152,            0.003152,            0.003152
                  27,            0.020013,           0.0044902,           0.0093836,             0.92739,             0.90726,             0.97073,             0.59797,           0.0059491,           0.0015122,           0.0030767,           0.0031481,           0.0031481,           0.0031481
                  28,            0.019515,           0.0044105,           0.0087493,             0.92375,              0.9113,             0.97262,             0.53336,           0.0065506,            0.001449,           0.0029904,           0.0031441,           0.0031441,           0.0031441
                  29,            0.020002,           0.0043601,           0.0084736,             0.93028,             0.90971,             0.96795,             0.62704,           0.0061448,           0.0015078,           0.0027339,           0.0031399,           0.0031399,           0.0031399
                  30,            0.019064,           0.0042904,           0.0078173,             0.95255,             0.97346,             0.98574,             0.61428,           0.0064513,           0.0015225,           0.0024423,           0.0031356,           0.0031356,           0.0031356
                  31,            0.018542,           0.0041366,            0.007717,             0.97226,             0.95953,             0.98802,             0.62454,           0.0057453,           0.0014515,            0.002208,           0.0031311,           0.0031311,           0.0031311
                  32,            0.020766,           0.0041258,           0.0071718,             0.96192,             0.97653,             0.98542,             0.54995,           0.0063633,           0.0014231,           0.0020039,           0.0031265,           0.0031265,           0.0031265
                  33,            0.019659,           0.0041597,           0.0066178,             0.91842,             0.96991,             0.93666,             0.55429,            0.005975,            0.001462,           0.0018199,           0.0031217,           0.0031217,           0.0031217
                  34,            0.019104,            0.003924,           0.0067684,             0.95655,             0.97022,             0.98764,             0.67052,           0.0059352,            0.001442,           0.0017085,           0.0031168,           0.0031168,           0.0031168
                  35,            0.019242,           0.0040216,           0.0062416,             0.96497,                0.96,              0.9891,             0.60479,           0.0065477,           0.0013654,            0.001733,           0.0031117,           0.0031117,           0.0031117
                  36,            0.019209,             0.00399,            0.006362,             0.96143,             0.98334,             0.99061,              0.6649,           0.0053117,           0.0013711,           0.0016087,           0.0031065,           0.0031065,           0.0031065
                  37,             0.01847,           0.0038951,           0.0058485,             0.96286,             0.98175,             0.98879,             0.62891,             0.00582,           0.0013427,           0.0015772,           0.0031011,           0.0031011,           0.0031011
                  38,            0.019186,           0.0037405,           0.0052581,             0.96368,             0.97446,             0.98594,             0.64435,           0.0054059,           0.0013363,           0.0014865,           0.0030956,           0.0030956,           0.0030956
                  39,            0.017836,           0.0037373,           0.0056631,             0.97281,             0.97304,             0.98833,             0.63832,           0.0060767,            0.001301,           0.0013587,             0.00309,             0.00309,             0.00309
                  40,            0.017797,           0.0039343,           0.0054025,             0.98206,             0.97194,             0.98959,             0.66806,           0.0052643,           0.0013373,           0.0013208,           0.0030842,           0.0030842,           0.0030842
                  41,            0.018451,           0.0037007,           0.0051754,             0.96937,             0.97434,              0.9866,             0.67838,           0.0049992,           0.0013692,           0.0012671,           0.0030783,           0.0030783,           0.0030783
                  42,            0.018038,           0.0037683,           0.0053573,             0.97773,             0.97384,             0.98706,             0.68272,           0.0050197,           0.0012936,           0.0011794,           0.0030722,           0.0030722,           0.0030722
                  43,            0.017734,            0.003631,           0.0052599,             0.96858,             0.98414,             0.98696,             0.66631,           0.0051734,           0.0012883,           0.0011394,            0.003066,            0.003066,            0.003066
                  44,            0.018159,           0.0036679,           0.0046904,             0.96778,             0.98225,              0.9845,             0.64643,           0.0056547,           0.0012925,           0.0011524,           0.0030596,           0.0030596,           0.0030596
                  45,            0.018712,           0.0037212,           0.0049352,             0.97138,             0.95853,             0.98335,             0.65977,           0.0052086,           0.0012797,            0.001188,           0.0030532,           0.0030532,           0.0030532
                  46,            0.018582,           0.0036756,           0.0044902,             0.95505,             0.96917,             0.98095,             0.67315,            0.005006,           0.0012562,           0.0013134,           0.0030465,           0.0030465,           0.0030465
                  47,            0.017793,           0.0038008,           0.0047783,             0.96808,              0.9801,               0.987,             0.70425,           0.0051219,           0.0012684,           0.0010605,           0.0030398,           0.0030398,           0.0030398
                  48,            0.017793,           0.0035747,           0.0046791,             0.96274,             0.97953,             0.98237,             0.62469,            0.006135,           0.0012853,           0.0010523,           0.0030329,           0.0030329,           0.0030329
                  49,            0.017745,           0.0034282,           0.0045114,             0.95883,             0.98563,             0.98399,             0.70862,           0.0050351,           0.0012158,           0.0011162,           0.0030258,           0.0030258,           0.0030258
                  50,            0.017431,           0.0036764,           0.0043143,              0.9695,             0.98105,             0.98526,             0.68202,           0.0050594,           0.0012188,           0.0010393,           0.0030187,           0.0030187,           0.0030187
                  51,            0.018567,           0.0035284,           0.0045314,             0.98099,             0.97633,             0.98963,             0.68035,           0.0050592,           0.0012294,           0.0010023,           0.0030114,           0.0030114,           0.0030114
                  52,            0.017388,           0.0035295,           0.0045789,             0.96322,             0.98859,             0.98468,              0.6748,           0.0047376,           0.0012282,          0.00097051,           0.0030039,           0.0030039,           0.0030039
                  53,            0.017707,           0.0034365,           0.0039755,             0.96877,              0.9808,             0.98135,             0.65015,           0.0055652,           0.0012359,          0.00087381,           0.0029964,           0.0029964,           0.0029964
                  54,            0.016422,           0.0034574,           0.0041333,             0.96147,             0.98275,             0.98932,             0.68664,           0.0049891,           0.0011963,          0.00092575,           0.0029886,           0.0029886,           0.0029886
                  55,            0.016179,           0.0033044,           0.0037669,             0.96859,              0.9863,             0.98685,             0.72601,           0.0046002,           0.0012356,          0.00089698,           0.0029808,           0.0029808,           0.0029808
                  56,            0.016658,           0.0033243,           0.0039594,             0.96768,             0.98893,             0.98772,              0.7103,           0.0046211,           0.0011959,          0.00088532,           0.0029728,           0.0029728,           0.0029728
                  57,            0.017513,           0.0034951,           0.0043211,             0.96742,             0.98422,             0.98621,             0.73653,           0.0045127,           0.0012071,          0.00091898,           0.0029648,           0.0029648,           0.0029648
                  58,            0.016742,           0.0035093,           0.0036675,             0.97188,             0.98586,             0.98367,             0.69609,           0.0052883,           0.0011759,          0.00083027,           0.0029565,           0.0029565,           0.0029565
                  59,            0.016257,           0.0034261,           0.0038192,             0.96397,             0.99077,             0.98751,             0.73911,           0.0043898,           0.0012263,          0.00088307,           0.0029482,           0.0029482,           0.0029482
                  60,            0.016285,           0.0033536,            0.004067,             0.97463,             0.98272,             0.99161,             0.74672,           0.0043872,           0.0011571,          0.00082082,           0.0029397,           0.0029397,           0.0029397
                  61,            0.016264,            0.003214,           0.0041919,             0.96643,             0.98718,             0.98314,             0.69305,           0.0050462,           0.0011551,          0.00081196,           0.0029311,           0.0029311,           0.0029311
                  62,            0.017049,            0.003273,           0.0042053,             0.95718,             0.98247,             0.98668,             0.71066,           0.0049476,           0.0011712,          0.00088949,           0.0029224,           0.0029224,           0.0029224
                  63,            0.015994,           0.0034015,            0.003785,             0.96454,             0.98781,             0.98456,             0.69654,           0.0049825,           0.0011476,          0.00082015,           0.0029135,           0.0029135,           0.0029135
                  64,            0.016888,           0.0032135,           0.0032509,             0.96701,             0.99096,             0.98719,             0.73955,           0.0043583,           0.0011578,          0.00078738,           0.0029045,           0.0029045,           0.0029045
                  65,            0.015851,           0.0032029,           0.0038528,             0.96251,             0.99217,             0.98681,             0.70316,           0.0045507,            0.001162,          0.00080008,           0.0028954,           0.0028954,           0.0028954
                  66,            0.016767,           0.0032458,           0.0034596,             0.97017,             0.98554,             0.98788,             0.70273,            0.005001,           0.0011262,          0.00076611,           0.0028862,           0.0028862,           0.0028862
                  67,            0.016356,           0.0032508,           0.0038463,             0.97924,             0.98206,             0.98839,             0.69916,           0.0044869,            0.001119,          0.00074637,           0.0028769,           0.0028769,           0.0028769
                  68,            0.016466,             0.00324,           0.0037457,             0.96365,             0.99365,             0.98513,             0.67467,           0.0050946,           0.0011532,          0.00075018,           0.0028674,           0.0028674,           0.0028674
                  69,            0.015844,           0.0033518,           0.0031312,              0.9736,             0.99007,             0.98659,             0.75749,           0.0041164,           0.0011388,          0.00073967,           0.0028578,           0.0028578,           0.0028578
                  70,            0.015875,           0.0031325,           0.0032758,             0.97008,             0.99345,             0.98578,             0.73657,           0.0042573,           0.0011191,          0.00070083,           0.0028482,           0.0028482,           0.0028482
                  71,            0.016156,           0.0032805,           0.0032622,               0.965,             0.99612,             0.98844,             0.71628,           0.0044669,           0.0011069,          0.00068156,           0.0028383,           0.0028383,           0.0028383
                  72,            0.015823,           0.0034876,           0.0034669,             0.96547,              0.9951,             0.98792,             0.73676,           0.0043679,           0.0011322,          0.00070003,           0.0028284,           0.0028284,           0.0028284
                  73,            0.016088,           0.0033164,           0.0032034,             0.96664,             0.99355,             0.98496,             0.69127,           0.0048211,           0.0011011,          0.00068199,           0.0028184,           0.0028184,           0.0028184
                  74,            0.015213,           0.0031385,           0.0033654,               0.983,             0.97922,              0.9874,             0.72244,           0.0045535,           0.0010919,          0.00068926,           0.0028082,           0.0028082,           0.0028082
                  75,            0.015344,           0.0033225,           0.0031189,             0.97056,             0.98805,             0.98448,             0.73741,            0.004126,           0.0010965,          0.00072514,            0.002798,            0.002798,            0.002798
                  76,            0.016259,           0.0033173,           0.0029699,             0.97814,             0.98273,             0.98575,             0.73087,           0.0044349,           0.0011114,          0.00068077,           0.0027876,           0.0027876,           0.0027876
                  77,            0.015541,           0.0031876,           0.0032883,             0.97452,             0.98356,             0.98439,             0.72073,           0.0045133,           0.0011183,          0.00070339,           0.0027771,           0.0027771,           0.0027771
                  78,            0.014894,           0.0031271,            0.003196,             0.96621,             0.99565,             0.98456,             0.72006,           0.0044986,           0.0010992,          0.00068559,           0.0027665,           0.0027665,           0.0027665
                  79,            0.016426,           0.0032795,           0.0035001,             0.97169,             0.99063,             0.98517,             0.72337,           0.0043108,           0.0010812,          0.00074061,           0.0027558,           0.0027558,           0.0027558
                  80,            0.014945,           0.0032392,           0.0031903,             0.96139,             0.99683,             0.98614,             0.75262,           0.0041711,           0.0011068,          0.00070819,            0.002745,            0.002745,            0.002745
                  81,            0.015408,            0.003111,           0.0032211,             0.96442,             0.99514,             0.98565,             0.74534,           0.0042458,           0.0011123,          0.00061463,           0.0027341,           0.0027341,           0.0027341
                  82,            0.015579,           0.0029876,           0.0034367,             0.96547,             0.99494,             0.98413,             0.73452,           0.0043269,           0.0010982,          0.00064002,           0.0027231,           0.0027231,           0.0027231
                  83,            0.015622,           0.0031819,           0.0032531,             0.97392,             0.99185,             0.98831,             0.75036,           0.0040969,           0.0010813,          0.00060197,            0.002712,            0.002712,            0.002712
                  84,            0.014795,           0.0030995,           0.0029248,             0.97641,             0.98973,             0.98674,             0.75741,           0.0042681,           0.0010846,          0.00061714,           0.0027008,           0.0027008,           0.0027008
                  85,             0.01551,           0.0031689,           0.0031198,             0.97159,             0.99534,              0.9884,             0.73346,           0.0042611,           0.0011053,          0.00063137,           0.0026895,           0.0026895,           0.0026895
                  86,            0.014842,           0.0031268,           0.0032637,             0.96859,             0.99482,             0.98853,             0.74874,           0.0041025,           0.0010982,          0.00062445,           0.0026781,           0.0026781,           0.0026781
                  87,            0.014724,           0.0032189,           0.0030783,             0.96367,             0.99599,             0.98688,             0.70859,           0.0045776,           0.0010593,            0.000586,           0.0026666,           0.0026666,           0.0026666
                  88,            0.015634,           0.0030386,           0.0030195,             0.96938,             0.99316,             0.98849,             0.75428,           0.0042052,           0.0010754,          0.00061736,            0.002655,            0.002655,            0.002655
                  89,            0.014734,           0.0031708,           0.0029259,             0.96966,             0.98932,             0.98636,             0.75512,           0.0040687,           0.0010762,          0.00059195,           0.0026433,           0.0026433,           0.0026433
                  90,             0.01417,           0.0028467,           0.0028137,             0.97443,             0.99169,              0.9879,                0.75,           0.0041164,            0.001079,          0.00065259,           0.0026315,           0.0026315,           0.0026315
                  91,            0.015309,           0.0031261,           0.0031956,             0.96664,             0.99435,             0.98786,             0.76416,           0.0039175,           0.0010854,           0.0005795,           0.0026196,           0.0026196,           0.0026196
                  92,            0.014734,           0.0031283,           0.0026327,             0.96922,             0.99653,             0.98741,             0.75831,           0.0040904,           0.0010575,          0.00056986,           0.0026076,           0.0026076,           0.0026076
                  93,             0.01416,           0.0029014,           0.0027946,             0.97401,             0.99631,             0.98818,             0.74068,           0.0042736,           0.0010653,          0.00058688,           0.0025956,           0.0025956,           0.0025956
                  94,            0.014455,           0.0029794,           0.0028135,             0.97241,             0.99537,              0.9851,             0.76065,            0.004226,           0.0010672,          0.00060408,           0.0025834,           0.0025834,           0.0025834
                  95,            0.014955,           0.0029774,           0.0029029,             0.98184,             0.99246,             0.98699,             0.75151,           0.0040817,           0.0010753,          0.00057489,           0.0025712,           0.0025712,           0.0025712
                  96,            0.014751,            0.003122,           0.0032904,             0.97083,              0.9941,             0.98944,              0.7442,           0.0042261,           0.0010651,          0.00055708,           0.0025589,           0.0025589,           0.0025589
                  97,            0.014949,           0.0029543,           0.0028704,               0.971,             0.99507,             0.98683,             0.77665,           0.0040001,           0.0010466,          0.00056696,           0.0025464,           0.0025464,           0.0025464
                  98,            0.014342,           0.0030608,           0.0028014,             0.97482,             0.99401,             0.98812,             0.76551,           0.0040201,             0.00105,          0.00053043,            0.002534,            0.002534,            0.002534
